Start Time  Tuesday July 05 2022 14:22:03
Bitrate  1000 kbit/s
Operating Mode  Std Ext ErrDet
Driver Version  4.1.212.0
"Bus","No","Time","State","ID (hex)","DLC","Data (hex)","ASCII"
"USB-to-CAN V2 compact  CAN-1","14,486","00:06:29.075","  E   ","   F10F1","2","20 10"," ."
"USB-to-CAN V2 compact  CAN-1","14,487","00:06:29.525","  E   ","  10F110","8","00 01 02 00 00 00 00 02","........"
"USB-to-CAN V2 compact  CAN-1","14,488","00:06:29.526","  E   ","  10F110","8","00 01 00 05 00 00 03 02","........"
"USB-to-CAN V2 compact  CAN-1","14,489","00:06:31.236","  E   ","   F10F1","2","20 11"," ."
"USB-to-CAN V2 compact  CAN-1","14,490","00:06:31.236","  E   ","   FF110","8","20 11 81 02 10 2E 30 66"," .....0f"
"USB-to-CAN V2 compact  CAN-1","14,491","00:06:33.242","  E   ","  11FF10","8","00 07 00 61 00 00 00 00","...a...."
"USB-to-CAN V2 compact  CAN-1","14,492","00:06:33.312","  E   ","  10F110","8","00 01 00 05 00 00 03 00","........"
"USB-to-CAN V2 compact  CAN-1","14,493","00:06:33.312","  E   ","  10F110","8","00 01 01 02 00 00 00 0B","........"
"USB-to-CAN V2 compact  CAN-1","14,494","00:06:35.114","  E   ","   F10F1","2","20 12"," ."
"USB-to-CAN V2 compact  CAN-1","14,495","00:06:35.337","  E   ","   FF110","8","20 12 01 43 00 00 00 00"," ..C...."
